,v_e,r_v_e,m_e,r_m_e,t_sigma,s_sigma
19,3.0638428,0.00043000386,2229.9475,1.6266142,5,1.0
20,11.976807,0.0020589908,4478.002,2.9246316,5,1.0
21,19.085938,0.0031083769,8039.2954,5.2689896,5,1.0
22,18.590698,0.0027341933,5837.9834,4.1665783,5,1.0
23,25.094727,0.00397794,7488.7197,4.697098,5,1.0
24,1.711792,0.00024488912,1928.9241,1.3312348,5,1.0
25,7.9298096,0.0014553743,2461.8428,1.7299528,5,1.0
26,2.3272705,0.00036610014,4078.3108,3.2286675,5,1.0
27,114.445435,0.022158405,3916.8232,2.5056372,5,1.0
28,209.3197,0.0422128,5154.316,3.3256834,5,1.0
29,6.446533,0.0010519479,4467.0415,2.9195654,5,1.0
30,142.94556,0.025171906,4328.5605,3.067552,5,1.0
31,2.8256226,0.0005058755,2152.3691,1.6595423,5,1.0
32,0.8395996,0.00014606022,1298.5051,0.91872054,5,1.0
33,5.7265625,0.00084086554,2888.1147,2.14942,5,1.0
34,0.83013916,0.00014895492,1495.4972,1.105973,5,1.0
35,1.6230469,0.00023117726,1596.6914,1.146786,5,1.0
36,5.3415527,0.0008613092,3164.6152,2.1187348,5,1.0
37,20.87378,0.0036812904,4116.0366,2.9677637,5,1.0
38,1.6690674,0.00023971927,4666.1924,3.2245653,5,1.0
39,0.9011841,0.00016990362,2894.0237,2.052158,5,1.0
40,0.8626709,0.00014855359,2662.1526,1.9372894,5,1.0
41,15.296631,0.0024011813,9206.486,6.4692388,5,1.0
42,12.468872,0.002091481,4138.295,3.0021753,5,1.0
43,3.4229736,0.0005505222,4291.295,2.89641,5,1.0
44,2.0217285,0.00027880905,7778.3477,5.5701847,5,1.0
45,3.3624268,0.00042953048,5113.5615,3.5300362,5,1.0
46,0.36950684,5.964686e-05,1763.9126,1.3680364,5,1.0
47,1.2705078,0.00019026085,1310.8087,0.97355163,5,1.0
48,1.9731445,0.00035569802,2567.2556,1.8331285,5,1.0
49,1.6850586,0.00024375517,2639.257,1.8075242,5,1.0
0,60.996094,0.010069792,8549.285,5.7846456,5,10.0
1,9.446533,0.0011788527,7451.2383,4.900022,5,10.0
2,23.73108,0.0037721149,6792.5454,4.720868,5,10.0
3,8.069153,0.0014653632,2634.5107,1.8784858,5,10.0
4,100.22009,0.019317746,3744.3704,2.6841083,5,10.0
5,10.23291,0.0014279009,7454.9893,4.9124656,5,10.0
6,7.7211914,0.0013338306,3580.8918,2.8047667,5,10.0
7,3.5473022,0.000638345,2422.5342,1.7291064,5,10.0
